Exposure to risk (period 5x10), 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName    Year          Age             Female            Male           Total
AUT      1960-1969     25-29          2329696.83      2424124.88      4753821.71
AUT      1960-1969     30-34          2135950.15      2184223.04      4320173.19
AUT      1960-1969     35-39          2466218.42      2218075.74      4684294.16
AUT      1960-1969     40-44          2502902.31      1924576.89      4427479.19
AUT      1960-1969     45-49          2272411.68      1687380.51      3959792.19
AUT      1960-1969     50-54          2484954.79      1916154.01      4401108.80
AUT      1960-1969     55-59          2685647.17      2139945.19      4825592.36
AUT      1960-1969     60-64          2502508.20      1954670.61      4457178.81
AUT      1960-1969     65-69          2148329.18      1489482.07      3637811.25
AUT      1960-1969     70-74          1659633.12      1004871.11      2664504.23
AUT      1960-1969     75-79          1138365.25       639044.40      1777409.65
AUT      1960-1969     80-84           625059.25       330901.68       955960.93
AUT      1960-1969     85-89           237336.60       117823.99       355160.59
AUT      1960-1969     90-94            52927.95        23732.80        76660.75
AUT      1960-1969     95-99             6083.36         2368.83         8452.20
AUT      1960-1969    100-104             340.43          103.02          443.45
AUT      1960-1969    105-109               5.41            1.90            7.32
AUT      1960-1969    110+                  0.00            0.00            0.00
AUT      1970-1979        0            467478.12       491584.24       959062.36
AUT      1970-1979      1-4           2048266.14      2146848.01      4195114.14
AUT      1970-1979      5-9           2952846.72      3086535.81      6039382.52
AUT      1970-1979     10-14          3063065.41      3188425.51      6251490.93
AUT      1970-1979     15-19          2831658.91      2920873.59      5752532.50
AUT      1970-1979     20-24          2623211.34      2683188.97      5306400.31
AUT      1970-1979     25-29          2520226.53      2619698.87      5139925.40
AUT      1970-1979     30-34          2550163.05      2654039.63      5204202.69
AUT      1970-1979     35-39          2325249.46      2419044.29      4744293.75
AUT      1970-1979     40-44          2133751.13      2174741.72      4308492.85
AUT      1970-1979     45-49          2434754.83      2152091.24      4586846.06
AUT      1970-1979     50-54          2433810.79      1819501.63      4253312.42
AUT      1970-1979     55-59          2170951.69      1539709.60      3710661.29
AUT      1970-1979     60-64          2297431.89      1633711.44      3931143.33
AUT      1970-1979     65-69          2363195.23      1633476.50      3996671.73
AUT      1970-1979     70-74          1991972.34      1252676.00      3244648.33
AUT      1970-1979     75-79          1423911.24       742230.07      2166141.31
AUT      1970-1979     80-84           800911.76       344200.62      1145112.37
AUT      1970-1979     85-89           324816.72       127035.79       451852.51
AUT      1970-1979     90-94            82003.13        29713.48       111716.61
AUT      1970-1979     95-99            10902.86         3617.00        14519.85
AUT      1970-1979    100-104             640.64          205.58          846.22
AUT      1970-1979    105-109              22.99           11.18           34.17
AUT      1970-1979    110+                  0.00            0.00            0.00
AUT      1980-1989        0            436115.28       457151.01       893266.29
AUT      1980-1989      1-4           1732198.53      1816334.14      3548532.67
AUT      1980-1989      5-9           2204715.16      2312067.53      4516782.69
AUT      1980-1989     10-14          2537418.88      2650606.85      5188025.74
AUT      1980-1989     15-19          3032335.12      3136884.45      6169219.57
AUT      1980-1989     20-24          3167783.69      3245897.03      6413680.71
AUT      1980-1989     25-29          2882188.50      2922928.14      5805116.64
AUT      1980-1989     30-34          2602801.14      2632039.65      5234840.80
AUT      1980-1989     35-39          2486005.97      2523907.60      5009913.57
AUT      1980-1989     40-44          2520644.96      2553733.44      5074378.40
AUT      1980-1989     45-49          2286290.39      2294971.95      4581262.34
AUT      1980-1989     50-54          2077487.71      2015846.13      4093333.84
AUT      1980-1989     55-59          2332924.40      1933607.60      4266532.01
AUT      1980-1989     60-64          2277836.91      1560976.55      3838813.47
AUT      1980-1989     65-69          1945982.69      1219676.08      3165658.77
AUT      1980-1989     70-74          1901443.15      1122161.55      3023604.70
AUT      1980-1989     75-79          1677250.54       884603.85      2561854.39
AUT      1980-1989     80-84          1058451.67       460099.33      1518551.00
AUT      1980-1989     85-89           465400.00       158842.00       624242.00
AUT      1980-1989     90-94           123708.83        35253.00       158961.83
AUT      1980-1989     95-99            17596.33         4542.83        22139.17
AUT      1980-1989    100-104            1246.83          291.17         1538.00
AUT      1980-1989    105-109              32.83            8.50           41.33
AUT      1980-1989    110+                  0.00            0.00            0.00
AUT      1990-1999        0            435233.57       457879.46       893113.03
AUT      1990-1999      1-4           1796035.66      1889978.07      3686013.74
AUT      1990-1999      5-9           2282305.78      2398765.24      4681071.02
AUT      1990-1999     10-14          2264394.19      2382025.39      4646419.59
AUT      1990-1999     15-19          2332500.95      2437949.60      4770450.56
AUT      1990-1999     20-24          2774492.41      2825586.78      5600079.19
AUT      1990-1999     25-29          3273611.01      3375345.70      6648956.71
AUT      1990-1999     30-34          3310885.05      3445673.45      6756558.50
AUT      1990-1999     35-39          2966469.11      3049004.99      6015474.09
AUT      1990-1999     40-44          2651062.03      2682121.17      5333183.20
AUT      1990-1999     45-49          2492491.50      2495249.55      4987741.05
AUT      1990-1999     50-54          2481093.72      2437592.88      4918686.60
AUT      1990-1999     55-59          2221825.36      2117602.09      4339427.45
AUT      1990-1999     60-64          1976501.94      1760093.40      3736595.34
AUT      1990-1999     65-69          2136940.98      1575111.62      3712052.60
AUT      1990-1999     70-74          1964726.39      1148052.85      3112779.24
AUT      1990-1999     75-79          1492559.67       747916.26      2240475.93
AUT      1990-1999     80-84          1144489.67       496664.41      1641154.08
AUT      1990-1999     85-89           673783.07       242837.66       916620.73
AUT      1990-1999     90-94           214227.00        60402.17       274629.17
AUT      1990-1999     95-99            35699.17         7624.50        43323.67
AUT      1990-1999    100-104            2680.67          446.17         3126.83
AUT      1990-1999    105-109             107.33            9.67          117.00
AUT      1990-1999    110+                  7.67            0.00            7.67
AUT      2000-2009        0            375677.49       395325.11       771002.60
AUT      2000-2009      1-4           1575646.88      1656765.56      3232412.44
AUT      2000-2009      5-9           2139712.37      2247633.62      4387345.99
AUT      2000-2009     10-14          2320553.20      2439393.57      4759946.78
AUT      2000-2009     15-19          2389332.81      2509246.13      4898578.94
AUT      2000-2009     20-24          2501671.55      2561824.86      5063496.41
AUT      2000-2009     25-29          2640010.84      2658468.71      5298479.56
AUT      2000-2009     30-34          2992404.14      3003190.25      5995594.39
AUT      2000-2009     35-39          3374528.42      3445551.45      6820079.88
AUT      2000-2009     40-44          3354390.59      3444317.10      6798707.69
AUT      2000-2009     45-49          2979411.45      3001303.78      5980715.23
AUT      2000-2009     50-54          2631730.94      2591440.38      5223171.32
AUT      2000-2009     55-59          2432910.55      2337713.22      4770623.77
AUT      2000-2009     60-64          2383026.85      2209044.69      4592071.54
AUT      2000-2009     65-69          2083688.23      1826383.36      3910071.59
AUT      2000-2009     70-74          1764396.75      1380461.95      3144858.69
AUT      2000-2009     75-79          1742112.86      1070475.50      2812588.37
AUT      2000-2009     80-84          1351167.88       617555.14      1968723.02
AUT      2000-2009     85-89           719521.95       262964.55       982486.50
AUT      2000-2009     90-94           289218.43        86108.46       375326.90
AUT      2000-2009     95-99            66011.36        15545.42        81556.78
AUT      2000-2009    100-104            5845.83          954.17         6800.00
AUT      2000-2009    105-109             263.83           18.00          281.83
AUT      2000-2009    110+                  0.83            0.17            1.00
AUT      2010-2019        0            394418.00       418889.62       813307.62
AUT      2010-2019      1-4           1601015.14      1697432.67      3298447.81
AUT      2010-2019      5-9           1997726.62      2104339.48      4102066.10
AUT      2010-2019     10-14          2061149.81      2169583.76      4230733.57
AUT      2010-2019     15-19          2258512.51      2407974.19      4666486.70
AUT      2010-2019     20-24          2633945.48      2753686.21      5387631.68
AUT      2010-2019     25-29          2841405.35      2921122.94      5762528.29
AUT      2010-2019     30-34          2846134.52      2899455.57      5745590.09
AUT      2010-2019     35-39          2844734.97      2855057.46      5699792.44
AUT      2010-2019     40-44          3107131.25      3097524.75      6204656.00
AUT      2010-2019     45-49          3434563.19      3461609.47      6896172.66
AUT      2010-2019     50-54          3370671.90      3389098.94      6759770.84
AUT      2010-2019     55-59          2948748.08      2877318.64      5826066.72
AUT      2010-2019     60-64          2547836.83      2384278.13      4932114.96
