Death rates (period 5x5), 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName    Year          Age             Female            Male           Total
AUS      1975-1979     55-59            0.007026        0.014204        0.010574
AUS      1975-1979     60-64            0.011163        0.022781        0.016742
AUS      1975-1979     65-69            0.017381        0.035941        0.026036
AUS      1975-1979     70-74            0.028696        0.055336        0.040481
AUS      1975-1979     75-79            0.049641        0.085827        0.063778
AUS      1975-1979     80-84            0.084575        0.129178        0.099229
AUS      1975-1979     85-89            0.141388        0.193478        0.156811
AUS      1975-1979     90-94            0.214049        0.269459        0.228454
AUS      1975-1979     95-99            0.325350        0.381469        0.337367
AUS      1975-1979    100-104           0.425508        0.502005        0.441196
AUS      1975-1979    105-109           0.432148        0.643685        0.480486
AUS      1975-1979    110+              0.000000              .        0.000000
AUS      1980-1984        0             0.008901        0.011277        0.010119
AUS      1980-1984      1-4             0.000460        0.000618        0.000541
AUS      1980-1984      5-9             0.000188        0.000308        0.000249
AUS      1980-1984     10-14            0.000193        0.000320        0.000258
AUS      1980-1984     15-19            0.000413        0.001170        0.000799
AUS      1980-1984     20-24            0.000489        0.001547        0.001026
AUS      1980-1984     25-29            0.000495        0.001331        0.000917
AUS      1980-1984     30-34            0.000578        0.001256        0.000921
AUS      1980-1984     35-39            0.000877        0.001534        0.001212
AUS      1980-1984     40-44            0.001447        0.002501        0.001987
AUS      1980-1984     45-49            0.002450        0.004298        0.003397
AUS      1980-1984     50-54            0.003981        0.007527        0.005795
AUS      1980-1984     55-59            0.006116        0.012540        0.009337
AUS      1980-1984     60-64            0.009719        0.019630        0.014477
AUS      1980-1984     65-69            0.015602        0.031853        0.023155
AUS      1980-1984     70-74            0.025601        0.050380        0.036507
AUS      1980-1984     75-79            0.043697        0.079351        0.058171
AUS      1980-1984     80-84            0.076990        0.120947        0.092038
AUS      1980-1984     85-89            0.129915        0.180391        0.143947
AUS      1980-1984     90-94            0.203561        0.267432        0.219012
AUS      1980-1984     95-99            0.316762        0.382118        0.330255
AUS      1980-1984    100-104           0.404110        0.480524        0.416208
AUS      1980-1984    105-109           0.541705        0.644353        0.556070
AUS      1980-1984    110+              0.737705              .        0.737705
AUS      1985-1989        0             0.007771        0.010029        0.008928
AUS      1985-1989      1-4             0.000395        0.000502        0.000450
AUS      1985-1989      5-9             0.000179        0.000236        0.000208
AUS      1985-1989     10-14            0.000150        0.000286        0.000220
AUS      1985-1989     15-19            0.000406        0.001066        0.000743
AUS      1985-1989     20-24            0.000505        0.001498        0.001010
AUS      1985-1989     25-29            0.000486        0.001378        0.000936
AUS      1985-1989     30-34            0.000568        0.001337        0.000954
AUS      1985-1989     35-39            0.000793        0.001511        0.001155
AUS      1985-1989     40-44            0.001273        0.002146        0.001719
AUS      1985-1989     45-49            0.002152        0.003460        0.002824
AUS      1985-1989     50-54            0.003478        0.006098        0.004817
AUS      1985-1989     55-59            0.005592        0.010564        0.008117
AUS      1985-1989     60-64            0.008805        0.017566        0.013110
AUS      1985-1989     65-69            0.014245        0.028107        0.020742
AUS      1985-1989     70-74            0.024428        0.045686        0.033845
AUS      1985-1989     75-79            0.041496        0.072858        0.054336
AUS      1985-1989     80-84            0.073395        0.115017        0.088346
AUS      1985-1989     85-89            0.126794        0.180382        0.142371
AUS      1985-1989     90-94            0.208332        0.269628        0.221992
AUS      1985-1989     95-99            0.310833        0.368018        0.321753
AUS      1985-1989    100-104           0.442298        0.476568        0.447934
AUS      1985-1989    105-109           0.659749        0.624418        0.654296
AUS      1985-1989    110+              0.000000        2.173913        1.456311
AUS      1990-1994        0             0.005946        0.007554        0.006771
AUS      1990-1994      1-4             0.000326        0.000418        0.000373
AUS      1990-1994      5-9             0.000141        0.000194        0.000168
AUS      1990-1994     10-14            0.000154        0.000210        0.000183
AUS      1990-1994     15-19            0.000340        0.000831        0.000591
AUS      1990-1994     20-24            0.000415        0.001215        0.000820
AUS      1990-1994     25-29            0.000435        0.001257        0.000848
AUS      1990-1994     30-34            0.000528        0.001344        0.000937
AUS      1990-1994     35-39            0.000763        0.001528        0.001145
AUS      1990-1994     40-44            0.001113        0.001980        0.001551
AUS      1990-1994     45-49            0.001799        0.002981        0.002402
AUS      1990-1994     50-54            0.002989        0.004987        0.004012
AUS      1990-1994     55-59            0.004790        0.008603        0.006718
AUS      1990-1994     60-64            0.007704        0.014885        0.011282
AUS      1990-1994     65-69            0.012719        0.024595        0.018410
AUS      1990-1994     70-74            0.021393        0.039102        0.029365
AUS      1990-1994     75-79            0.037478        0.064920        0.048861
AUS      1990-1994     80-84            0.065456        0.104408        0.079703
AUS      1990-1994     85-89            0.114525        0.163501        0.129660
AUS      1990-1994     90-94            0.191751        0.252384        0.206137
AUS      1990-1994     95-99            0.302525        0.376356        0.315353
AUS      1990-1994    100-104           0.417115        0.479556        0.425994
AUS      1990-1994    105-109           0.682322        0.709675        0.686850
AUS      1990-1994    110+              2.163462              .        2.163462
AUS      1995-1999        0             0.004956        0.006106        0.005546
AUS      1995-1999      1-4             0.000303        0.000373        0.000339
AUS      1995-1999      5-9             0.000126        0.000157        0.000142
AUS      1995-1999     10-14            0.000149        0.000191        0.000171
AUS      1995-1999     15-19            0.000343        0.000806        0.000580
AUS      1995-1999     20-24            0.000393        0.001260        0.000832
AUS      1995-1999     25-29            0.000426        0.001308        0.000867
AUS      1995-1999     30-34            0.000557        0.001421        0.000988
AUS      1995-1999     35-39            0.000736        0.001517        0.001125
AUS      1995-1999     40-44            0.001081        0.001908        0.001493
AUS      1995-1999     45-49            0.001661        0.002616        0.002141
AUS      1995-1999     50-54            0.002651        0.004202        0.003440
AUS      1995-1999     55-59            0.004185        0.007053        0.005642
AUS      1995-1999     60-64            0.006745        0.012277        0.009506
AUS      1995-1999     65-69            0.011036        0.020877        0.015845
AUS      1995-1999     70-74            0.018857        0.034787        0.026220
AUS      1995-1999     75-79            0.032862        0.055856        0.042657
AUS      1995-1999     80-84            0.060711        0.096369        0.074001
AUS      1995-1999     85-89            0.109333        0.157030        0.124440
AUS      1995-1999     90-94            0.189733        0.244893        0.203794
AUS      1995-1999     95-99            0.308126        0.365813        0.318994
AUS      1995-1999    100-104           0.436536        0.470825        0.441240
AUS      1995-1999    105-109           0.665674        0.743537        0.672929
AUS      1995-1999    110+              0.665188              .        0.665188
AUS      2000-2004        0             0.004451        0.005456        0.004967
AUS      2000-2004      1-4             0.000226        0.000294        0.000261
AUS      2000-2004      5-9             0.000100        0.000139        0.000120
AUS      2000-2004     10-14            0.000109        0.000153        0.000132
AUS      2000-2004     15-19            0.000283        0.000640        0.000465
AUS      2000-2004     20-24            0.000342        0.000949        0.000651
AUS      2000-2004     25-29            0.000386        0.001082        0.000734
AUS      2000-2004     30-34            0.000485        0.001176        0.000828
AUS      2000-2004     35-39            0.000695        0.001341        0.001016
AUS      2000-2004     40-44            0.001011        0.001757        0.001381
AUS      2000-2004     45-49            0.001547        0.002524        0.002033
AUS      2000-2004     50-54            0.002312        0.003664        0.002989
AUS      2000-2004     55-59            0.003672        0.005968        0.004834
AUS      2000-2004     60-64            0.005796        0.009974        0.007899
AUS      2000-2004     65-69            0.009484        0.016659        0.013015
AUS      2000-2004     70-74            0.016070        0.028683        0.022083
AUS      2000-2004     75-79            0.028532        0.048318        0.037281
AUS      2000-2004     80-84            0.053940        0.083164        0.065314
AUS      2000-2004     85-89            0.101900        0.145328        0.116171
AUS      2000-2004     90-94            0.182110        0.236085        0.196431
AUS      2000-2004     95-99            0.296420        0.358323        0.309033
AUS      2000-2004    100-104           0.461038        0.515882        0.469367
AUS      2000-2004    105-109           0.665868        0.891848        0.685948
AUS      2000-2004    110+              2.064607              .        2.064607
AUS      2005-2009        0             0.004019        0.004965        0.004505
AUS      2005-2009      1-4             0.000187        0.000239        0.000214
AUS      2005-2009      5-9             0.000091        0.000111        0.000101
AUS      2005-2009     10-14            0.000089        0.000120        0.000105
AUS      2005-2009     15-19            0.000239        0.000496        0.000371
AUS      2005-2009     20-24            0.000280        0.000754        0.000522
AUS      2005-2009     25-29            0.000337        0.000849        0.000596
AUS      2005-2009     30-34            0.000425        0.001022        0.000723
AUS      2005-2009     35-39            0.000628        0.001226        0.000925
AUS      2005-2009     40-44            0.000936        0.001667        0.001298
AUS      2005-2009     45-49            0.001481        0.002410        0.001941
AUS      2005-2009     50-54            0.002191        0.003560        0.002871
AUS      2005-2009     55-59            0.003239        0.005395        0.004315
AUS      2005-2009     60-64            0.005174        0.008586        0.006884
AUS      2005-2009     65-69            0.008191        0.014229        0.011183
AUS      2005-2009     70-74            0.013969        0.023431        0.018532
AUS      2005-2009     75-79            0.025265        0.041698        0.032795
AUS      2005-2009     80-84            0.048970        0.074441        0.059453
AUS      2005-2009     85-89            0.094134        0.130637        0.106939
AUS      2005-2009     90-94            0.176855        0.223310        0.189920
AUS      2005-2009     95-99            0.293074        0.356167        0.306527
AUS      2005-2009    100-104           0.454610        0.514173        0.464212
AUS      2005-2009    105-109           0.639135        0.799193        0.657216
AUS      2005-2009    110+              1.622408              .        1.622408
AUS      2010-2014        0             0.003368        0.003941        0.003662
AUS      2010-2014      1-4             0.000155        0.000186        0.000171
AUS      2010-2014      5-9             0.000086        0.000104        0.000095
AUS      2010-2014     10-14            0.000081        0.000107        0.000094
AUS      2010-2014     15-19            0.000222        0.000413        0.000320
AUS      2010-2014     20-24            0.000254        0.000602        0.000432
AUS      2010-2014     25-29            0.000286        0.000692        0.000492
AUS      2010-2014     30-34            0.000411        0.000859        0.000636
AUS      2010-2014     35-39            0.000605        0.001131        0.000867
AUS      2010-2014     40-44            0.000900        0.001536        0.001215
AUS      2010-2014     45-49            0.001388        0.002259        0.001819
AUS      2010-2014     50-54            0.002085        0.003368        0.002720
AUS      2010-2014     55-59            0.003087        0.005142        0.004102
AUS      2010-2014     60-64            0.004732        0.007855        0.006282
AUS      2010-2014     65-69            0.007378        0.012478        0.009912
AUS      2010-2014     70-74            0.012766        0.020561        0.016582
AUS      2010-2014     75-79            0.022535        0.035862        0.028753
AUS      2010-2014     80-84            0.045114        0.066134        0.054254
AUS      2010-2014     85-89            0.089790        0.120574        0.101404
AUS      2010-2014     90-94            0.169628        0.213510        0.183100
AUS      2010-2014     95-99            0.294374        0.350478        0.307345
AUS      2010-2014    100-104           0.464087        0.503215        0.470710
