Death rates (cohort 5x5), 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName    Year          Age             Female            Male           Total
AUS      1920-1924     90-94            0.169986        0.210795        0.182932
AUS      1920-1924     95-99            0.268037        0.320147        0.282183
AUS      1920-1924    100-104                  .               .               .
AUS      1920-1924    105-109                  .               .               .
AUS      1920-1924    110+                     .               .               .
AUS      1925-1929        0             0.048050        0.061002        0.054674
AUS      1925-1929      1-4             0.004358        0.005008        0.004689
AUS      1925-1929      5-9             0.001181        0.001521        0.001354
AUS      1925-1929     10-14            0.000777        0.001115        0.000948
AUS      1925-1929     15-19            0.000863        0.001466        0.001166
AUS      1925-1929     20-24            0.000882        0.001910        0.001407
AUS      1925-1929     25-29            0.000831        0.001684        0.001278
AUS      1925-1929     30-34            0.001006        0.001768        0.001405
AUS      1925-1929     35-39            0.001548        0.002365        0.001973
AUS      1925-1929     40-44            0.002273        0.003606        0.002964
AUS      1925-1929     45-49            0.003269        0.005767        0.004558
AUS      1925-1929     50-54            0.004233        0.008120        0.006223
AUS      1925-1929     55-59            0.005809        0.011562        0.008724
AUS      1925-1929     60-64            0.008186        0.016104        0.012121
AUS      1925-1929     65-69            0.011915        0.023193        0.017389
AUS      1925-1929     70-74            0.017517        0.031512        0.024114
AUS      1925-1929     75-79            0.026828        0.044824        0.034964
AUS      1925-1929     80-84            0.047254        0.070896        0.057307
AUS      1925-1929     85-89            0.087122        0.117461        0.099049
AUS      1925-1929     90-94            0.150000        0.186119        0.162805
AUS      1925-1929     95-99                   .               .               .
AUS      1925-1929    100-104                  .               .               .
AUS      1925-1929    105-109                  .               .               .
AUS      1925-1929    110+                     .               .               .
AUS      1930-1934        0             0.038280        0.048443        0.043479
AUS      1930-1934      1-4             0.003551        0.004045        0.003803
AUS      1930-1934      5-9             0.001109        0.001462        0.001289
AUS      1930-1934     10-14            0.000668        0.001016        0.000845
AUS      1930-1934     15-19            0.000646        0.001504        0.001084
AUS      1930-1934     20-24            0.000676        0.001837        0.001280
AUS      1930-1934     25-29            0.000731        0.001532        0.001150
AUS      1930-1934     30-34            0.000965        0.001718        0.001356
AUS      1930-1934     35-39            0.001438        0.002331        0.001900
AUS      1930-1934     40-44            0.001992        0.003319        0.002677
AUS      1930-1934     45-49            0.002671        0.004808        0.003770
AUS      1930-1934     50-54            0.003751        0.006715        0.005267
AUS      1930-1934     55-59            0.005124        0.009392        0.007286
AUS      1930-1934     60-64            0.007191        0.013639        0.010404
AUS      1930-1934     65-69            0.010257        0.018459        0.014283
AUS      1930-1934     70-74            0.014806        0.025902        0.020132
AUS      1930-1934     75-79            0.023724        0.038843        0.030709
AUS      1930-1934     80-84            0.043080        0.062694        0.051740
AUS      1930-1934     85-89            0.075579        0.101489        0.086360
AUS      1930-1934     90-94                   .               .               .
AUS      1930-1934     95-99                   .               .               .
AUS      1930-1934    100-104                  .               .               .
AUS      1930-1934    105-109                  .               .               .
AUS      1930-1934    110+                     .               .               .
AUS      1935-1939        0             0.035185        0.045007        0.040197
AUS      1935-1939      1-4             0.002960        0.003476        0.003222
AUS      1935-1939      5-9             0.000860        0.001193        0.001029
AUS      1935-1939     10-14            0.000479        0.000748        0.000616
AUS      1935-1939     15-19            0.000558        0.001473        0.001025
AUS      1935-1939     20-24            0.000598        0.001726        0.001179
AUS      1935-1939     25-29            0.000712        0.001444        0.001089
AUS      1935-1939     30-34            0.000870        0.001527        0.001208
AUS      1935-1939     35-39            0.001211        0.002031        0.001632
AUS      1935-1939     40-44            0.001607        0.002735        0.002185
AUS      1935-1939     45-49            0.002279        0.003786        0.003052
AUS      1935-1939     50-54            0.003205        0.005454        0.004355
AUS      1935-1939     55-59            0.004561        0.007834        0.006217
AUS      1935-1939     60-64            0.006259        0.010934        0.008603
AUS      1935-1939     65-69            0.008739        0.015430        0.012041
AUS      1935-1939     70-74            0.013486        0.022096        0.017674
AUS      1935-1939     75-79            0.022118        0.034234        0.027831
AUS      1935-1939     80-84            0.037174        0.054060        0.044847
AUS      1935-1939     85-89                   .               .               .
AUS      1935-1939     90-94                   .               .               .
AUS      1935-1939     95-99                   .               .               .
AUS      1935-1939    100-104                  .               .               .
AUS      1935-1939    105-109                  .               .               .
AUS      1935-1939    110+                     .               .               .
AUS      1940-1944        0             0.033034        0.041753        0.037485
AUS      1940-1944      1-4             0.002230        0.002673        0.002456
AUS      1940-1944      5-9             0.000572        0.000858        0.000718
AUS      1940-1944     10-14            0.000387        0.000601        0.000496
AUS      1940-1944     15-19            0.000515        0.001325        0.000930
AUS      1940-1944     20-24            0.000612        0.001647        0.001144
AUS      1940-1944     25-29            0.000651        0.001411        0.001044
